team,deficits,wins,draws,losses,points,points_per_deficit,season,games
FC Augsburg,21,5,1,15,16,0.76,2014,All Games
VfB Stuttgart,22,4,2,16,14,0.64,2014,All Games
SC Paderborn 07,24,3,4,17,13,0.54,2014,All Games
VfL Wolfsburg,13,2,6,5,12,0.92,2014,All Games
SV Werder Bremen,22,1,8,13,11,0.5,2014,All Games
FC Schalke 04,18,2,4,12,10,0.56,2014,All Games
Eintracht Frankfurt,19,2,4,13,10,0.53,2014,All Games
Bayern Munich,8,3,0,5,9,1.13,2014,All Games
Bayer 04 Leverkusen,12,2,3,7,9,0.75,2014,All Games
1.FSV Mainz 05,18,1,5,12,8,0.44,2014,All Games
Hannover 96,21,1,5,15,8,0.38,2014,All Games
SC Freiburg,18,2,2,14,8,0.44,2014,All Games
1.FC Köln,17,1,4,12,7,0.41,2014,All Games
Borussia Mönchengladbach,10,1,3,6,6,0.6,2014,All Games
Borussia Dortmund,17,1,2,14,5,0.29,2014,All Games
Hertha BSC,20,1,2,17,5,0.25,2014,All Games
TSG 1899 Hoffenheim,16,0,2,14,2,0.13,2014,All Games
Hamburger SV,19,0,2,17,2,0.11,2014,All Games
FC Augsburg,8,3,1,4,10,1.25,2014,Home Games
Bayer 04 Leverkusen,6,2,3,1,9,1.5,2014,Home Games
VfB Stuttgart,11,2,1,8,7,0.64,2014,Home Games
SC Freiburg,8,2,0,6,6,0.75,2014,Home Games
SC Paderborn 07,11,1,3,7,6,0.55,2014,Home Games
FC Schalke 04,5,1,2,2,5,1,2014,Home Games
Eintracht Frankfurt,6,1,2,3,5,0.83,2014,Home Games
1.FSV Mainz 05,8,1,2,5,5,0.63,2014,Home Games
VfL Wolfsburg,2,1,1,0,4,2,2014,Home Games
Borussia Dortmund,7,1,1,5,4,0.57,2014,Home Games
1.FC Köln,8,0,4,4,4,0.5,2014,Home Games
Hannover 96,9,1,1,7,4,0.44,2014,Home Games
Bayern Munich,3,1,0,2,3,1,2014,Home Games
SV Werder Bremen,8,0,3,5,3,0.38,2014,Home Games
Hertha BSC,8,1,0,7,3,0.38,2014,Home Games
Hamburger SV,8,0,2,6,2,0.25,2014,Home Games
Borussia Mönchengladbach,3,0,1,2,1,0.33,2014,Home Games
TSG 1899 Hoffenheim,6,0,1,5,1,0.17,2014,Home Games
VfL Wolfsburg,11,1,5,5,8,0.73,2014,Away Games
SV Werder Bremen,14,1,5,8,8,0.57,2014,Away Games
VfB Stuttgart,11,2,1,8,7,0.64,2014,Away Games
SC Paderborn 07,13,2,1,10,7,0.54,2014,Away Games
Bayern Munich,5,2,0,3,6,1.2,2014,Away Games
FC Augsburg,13,2,0,11,6,0.46,2014,Away Games
Borussia Mönchengladbach,7,1,2,4,5,0.71,2014,Away Games
FC Schalke 04,13,1,2,10,5,0.38,2014,Away Games
Eintracht Frankfurt,13,1,2,10,5,0.38,2014,Away Games
Hannover 96,12,0,4,8,4,0.33,2014,Away Games
1.FSV Mainz 05,10,0,3,7,3,0.3,2014,Away Games
1.FC Köln,9,1,0,8,3,0.33,2014,Away Games
Hertha BSC,12,0,2,10,2,0.17,2014,Away Games
SC Freiburg,10,0,2,8,2,0.2,2014,Away Games
Borussia Dortmund,10,0,1,9,1,0.1,2014,Away Games
TSG 1899 Hoffenheim,10,0,1,9,1,0.1,2014,Away Games
Bayer 04 Leverkusen,6,0,0,6,0,NA,2014,Away Games
Hamburger SV,11,0,0,11,0,NA,2014,Away Games
Bayer 04 Leverkusen,19,5,4,10,19,1,2015,All Games
Borussia Dortmund,12,5,3,4,18,1.5,2015,All Games
Eintracht Frankfurt,23,5,2,16,17,0.74,2015,All Games
1.FC Köln,19,4,4,11,16,0.84,2015,All Games
SV Darmstadt 98,21,3,4,14,13,0.62,2015,All Games
VfB Stuttgart,26,3,4,19,13,0.5,2015,All Games
Bayern Munich,6,4,0,2,12,2,2015,All Games
TSG 1899 Hoffenheim,21,3,3,15,12,0.57,2015,All Games
1.FSV Mainz 05,17,3,2,12,11,0.65,2015,All Games
Hamburger SV,19,3,1,15,10,0.53,2015,All Games
Hannover 96,29,2,4,23,10,0.34,2015,All Games
Borussia Mönchengladbach,18,2,3,13,9,0.5,2015,All Games
SV Werder Bremen,23,1,6,16,9,0.39,2015,All Games
FC Ingolstadt 04,18,2,2,14,8,0.44,2015,All Games
FC Augsburg,19,1,4,14,7,0.37,2015,All Games
FC Schalke 04,16,1,3,12,6,0.38,2015,All Games
Hertha BSC,15,0,3,12,3,0.2,2015,All Games
VfL Wolfsburg,16,0,3,13,3,0.19,2015,All Games
Borussia Dortmund,5,3,2,0,11,2.2,2015,Home Games
Bayer 04 Leverkusen,9,3,2,4,11,1.22,2015,Home Games
TSG 1899 Hoffenheim,10,3,2,5,11,1.1,2015,Home Games
Eintracht Frankfurt,10,3,2,5,11,1.1,2015,Home Games
Bayern Munich,4,3,0,1,9,2.25,2015,Home Games
1.FC Köln,10,3,0,7,9,0.9,2015,Home Games
Hamburger SV,11,2,1,8,7,0.64,2015,Home Games
Borussia Mönchengladbach,5,2,0,3,6,1.2,2015,Home Games
FC Schalke 04,8,1,3,4,6,0.75,2015,Home Games
1.FSV Mainz 05,7,2,0,5,6,0.86,2015,Home Games
FC Ingolstadt 04,7,2,0,5,6,0.86,2015,Home Games
SV Darmstadt 98,12,1,2,9,5,0.42,2015,Home Games
SV Werder Bremen,11,0,4,7,4,0.36,2015,Home Games
VfB Stuttgart,11,1,0,10,3,0.27,2015,Home Games
Hertha BSC,5,0,2,3,2,0.4,2015,Home Games
VfL Wolfsburg,5,0,2,3,2,0.4,2015,Home Games
FC Augsburg,10,0,2,8,2,0.2,2015,Home Games
Hannover 96,13,0,0,13,0,NA,2015,Home Games
VfB Stuttgart,15,2,4,9,10,0.67,2015,Away Games
Hannover 96,16,2,4,10,10,0.63,2015,Away Games
Bayer 04 Leverkusen,10,2,2,6,8,0.8,2015,Away Games
SV Darmstadt 98,9,2,2,5,8,0.89,2015,Away Games
Borussia Dortmund,7,2,1,4,7,1,2015,Away Games
1.FC Köln,9,1,4,4,7,0.78,2015,Away Games
Eintracht Frankfurt,13,2,0,11,6,0.46,2015,Away Games
1.FSV Mainz 05,10,1,2,7,5,0.5,2015,Away Games
FC Augsburg,9,1,2,6,5,0.56,2015,Away Games
SV Werder Bremen,12,1,2,9,5,0.42,2015,Away Games
Bayern Munich,2,1,0,1,3,1.5,2015,Away Games
Borussia Mönchengladbach,13,0,3,10,3,0.23,2015,Away Games
Hamburger SV,8,1,0,7,3,0.38,2015,Away Games
FC Ingolstadt 04,11,0,2,9,2,0.18,2015,Away Games
Hertha BSC,10,0,1,9,1,0.1,2015,Away Games
VfL Wolfsburg,11,0,1,10,1,0.09,2015,Away Games
TSG 1899 Hoffenheim,11,0,1,10,1,0.09,2015,Away Games
FC Schalke 04,8,0,0,8,0,NA,2015,Away Games
FC Augsburg,22,4,4,14,16,0.73,2016,All Games
Bayern Munich,9,4,3,2,15,1.67,2016,All Games
Borussia Dortmund,15,3,6,6,15,1,2016,All Games
TSG 1899 Hoffenheim,13,3,6,4,15,1.15,2016,All Games
SV Werder Bremen,23,3,5,15,14,0.61,2016,All Games
Bayer 04 Leverkusen,23,3,5,15,14,0.61,2016,All Games
1.FSV Mainz 05,22,3,2,17,11,0.5,2016,All Games
Eintracht Frankfurt,20,2,4,14,10,0.5,2016,All Games
1.FC Köln,14,2,3,9,9,0.64,2016,All Games
RB Leipzig,11,2,2,7,8,0.73,2016,All Games
Hamburger SV,20,2,2,16,8,0.4,2016,All Games
Hertha BSC,18,2,1,15,7,0.39,2016,All Games
SC Freiburg,17,2,1,14,7,0.41,2016,All Games
FC Schalke 04,18,1,4,13,7,0.39,2016,All Games
FC Ingolstadt 04,23,1,4,18,7,0.3,2016,All Games
VfL Wolfsburg,21,1,3,17,6,0.29,2016,All Games
Borussia Mönchengladbach,16,1,2,13,5,0.31,2016,All Games
SV Darmstadt 98,26,0,3,23,3,0.12,2016,All Games
Borussia Dortmund,4,2,2,0,8,2,2016,Home Games
1.FSV Mainz 05,10,2,2,6,8,0.8,2016,Home Games
TSG 1899 Hoffenheim,3,2,1,0,7,2.33,2016,Home Games
SV Werder Bremen,11,2,1,8,7,0.64,2016,Home Games
Eintracht Frankfurt,8,1,4,3,7,0.88,2016,Home Games
FC Augsburg,11,1,4,6,7,0.64,2016,Home Games
FC Schalke 04,8,1,3,4,6,0.75,2016,Home Games
Bayer 04 Leverkusen,10,1,3,6,6,0.6,2016,Home Games
Hamburger SV,7,2,0,5,6,0.86,2016,Home Games
Bayern Munich,3,1,2,0,5,1.67,2016,Home Games
FC Ingolstadt 04,11,1,2,8,5,0.45,2016,Home Games
VfL Wolfsburg,11,1,1,9,4,0.36,2016,Home Games
RB Leipzig,4,1,0,3,3,0.75,2016,Home Games
Hertha BSC,5,1,0,4,3,0.6,2016,Home Games
SC Freiburg,6,1,0,5,3,0.5,2016,Home Games
1.FC Köln,4,0,2,2,2,0.5,2016,Home Games
SV Darmstadt 98,10,0,2,8,2,0.2,2016,Home Games
Borussia Mönchengladbach,6,0,1,5,1,0.17,2016,Home Games
Bayern Munich,6,3,1,2,10,1.67,2016,Away Games
FC Augsburg,11,3,0,8,9,0.82,2016,Away Games
TSG 1899 Hoffenheim,10,1,5,4,8,0.8,2016,Away Games
Bayer 04 Leverkusen,13,2,2,9,8,0.62,2016,Away Games
Borussia Dortmund,11,1,4,6,7,0.64,2016,Away Games
1.FC Köln,10,2,1,7,7,0.7,2016,Away Games
SV Werder Bremen,12,1,4,7,7,0.58,2016,Away Games
RB Leipzig,7,1,2,4,5,0.71,2016,Away Games
Hertha BSC,13,1,1,11,4,0.31,2016,Away Games
SC Freiburg,11,1,1,9,4,0.36,2016,Away Games
Borussia Mönchengladbach,10,1,1,8,4,0.4,2016,Away Games
Eintracht Frankfurt,12,1,0,11,3,0.25,2016,Away Games
1.FSV Mainz 05,12,1,0,11,3,0.25,2016,Away Games
Hamburger SV,13,0,2,11,2,0.15,2016,Away Games
VfL Wolfsburg,10,0,2,8,2,0.2,2016,Away Games
FC Ingolstadt 04,12,0,2,10,2,0.17,2016,Away Games
FC Schalke 04,10,0,1,9,1,0.1,2016,Away Games
SV Darmstadt 98,16,0,1,15,1,0.06,2016,Away Games
Bayern Munich,10,6,0,4,18,1.8,2017,All Games
RB Leipzig,17,4,2,11,14,0.82,2017,All Games
SC Freiburg,22,3,5,14,14,0.64,2017,All Games
Hertha BSC,20,2,7,11,13,0.65,2017,All Games
Bayer 04 Leverkusen,15,3,3,9,12,0.8,2017,All Games
Hannover 96,23,2,6,15,12,0.52,2017,All Games
1.FSV Mainz 05,24,2,6,16,12,0.5,2017,All Games
SV Werder Bremen,19,2,5,12,11,0.58,2017,All Games
Eintracht Frankfurt,17,3,1,13,10,0.59,2017,All Games
Borussia Mönchengladbach,19,2,4,13,10,0.53,2017,All Games
FC Augsburg,20,1,6,13,9,0.45,2017,All Games
FC Schalke 04,12,1,4,7,7,0.58,2017,All Games
Borussia Dortmund,14,1,4,9,7,0.5,2017,All Games
TSG 1899 Hoffenheim,13,1,3,9,6,0.46,2017,All Games
VfB Stuttgart,16,1,2,13,5,0.31,2017,All Games
VfL Wolfsburg,18,0,5,13,5,0.28,2017,All Games
Hamburger SV,22,1,2,19,5,0.23,2017,All Games
1.FC Köln,25,1,2,22,5,0.2,2017,All Games
Bayern Munich,4,3,0,1,9,2.25,2017,Home Games
RB Leipzig,7,3,0,4,9,1.29,2017,Home Games
1.FSV Mainz 05,11,2,2,7,8,0.73,2017,Home Games
SC Freiburg,7,2,1,4,7,1,2017,Home Games
Hertha BSC,9,1,3,5,6,0.67,2017,Home Games
FC Augsburg,11,1,3,7,6,0.55,2017,Home Games
Borussia Mönchengladbach,7,1,2,4,5,0.71,2017,Home Games
Hannover 96,9,1,2,6,5,0.56,2017,Home Games
Borussia Dortmund,6,1,1,4,4,0.67,2017,Home Games
Bayer 04 Leverkusen,6,1,1,4,4,0.67,2017,Home Games
Eintracht Frankfurt,7,1,1,5,4,0.57,2017,Home Games
Hamburger SV,9,1,1,7,4,0.44,2017,Home Games
SV Werder Bremen,6,0,2,4,2,0.33,2017,Home Games
VfL Wolfsburg,8,0,2,6,2,0.25,2017,Home Games
FC Schalke 04,3,0,1,2,1,0.33,2017,Home Games
TSG 1899 Hoffenheim,3,0,1,2,1,0.33,2017,Home Games
VfB Stuttgart,4,0,1,3,1,0.25,2017,Home Games
1.FC Köln,10,0,1,9,1,0.1,2017,Home Games
Bayern Munich,6,3,0,3,9,1.5,2017,Away Games
SV Werder Bremen,13,2,3,8,9,0.69,2017,Away Games
Bayer 04 Leverkusen,9,2,2,5,8,0.89,2017,Away Games
Hertha BSC,11,1,4,6,7,0.64,2017,Away Games
Hannover 96,14,1,4,9,7,0.5,2017,Away Games
SC Freiburg,15,1,4,10,7,0.47,2017,Away Games
FC Schalke 04,9,1,3,5,6,0.67,2017,Away Games
Eintracht Frankfurt,10,2,0,8,6,0.6,2017,Away Games
TSG 1899 Hoffenheim,10,1,2,7,5,0.5,2017,Away Games
RB Leipzig,10,1,2,7,5,0.5,2017,Away Games
Borussia Mönchengladbach,12,1,2,9,5,0.42,2017,Away Games
VfB Stuttgart,12,1,1,10,4,0.33,2017,Away Games
1.FSV Mainz 05,13,0,4,9,4,0.31,2017,Away Games
1.FC Köln,15,1,1,13,4,0.27,2017,Away Games
Borussia Dortmund,8,0,3,5,3,0.38,2017,Away Games
FC Augsburg,9,0,3,6,3,0.33,2017,Away Games
VfL Wolfsburg,10,0,3,7,3,0.3,2017,Away Games
Hamburger SV,13,0,1,12,1,0.08,2017,Away Games
Borussia Dortmund,10,5,1,4,16,1.6,2018,All Games
VfL Wolfsburg,19,4,4,11,16,0.84,2018,All Games
Hertha BSC,20,3,4,13,13,0.65,2018,All Games
SV Werder Bremen,18,1,8,9,11,0.61,2018,All Games
FC Augsburg,23,3,2,18,11,0.48,2018,All Games
1.FSV Mainz 05,20,2,3,15,9,0.45,2018,All Games
Bayern Munich,8,2,2,4,8,1,2018,All Games
TSG 1899 Hoffenheim,13,2,2,9,8,0.62,2018,All Games
Bayer 04 Leverkusen,15,2,1,12,7,0.47,2018,All Games
Borussia Mönchengladbach,16,1,4,11,7,0.44,2018,All Games
Eintracht Frankfurt,15,1,4,10,7,0.47,2018,All Games
FC Schalke 04,22,1,4,17,7,0.32,2018,All Games
VfB Stuttgart,25,1,4,20,7,0.28,2018,All Games
RB Leipzig,10,1,3,6,6,0.6,2018,All Games
Fortuna Düsseldorf,20,1,3,16,6,0.3,2018,All Games
SC Freiburg,19,0,5,14,5,0.26,2018,All Games
1.FC Nuremberg,26,0,5,21,5,0.19,2018,All Games
Hannover 96,24,0,1,23,1,0.04,2018,All Games
VfL Wolfsburg,10,2,4,4,10,1,2018,Home Games
Borussia Dortmund,4,3,0,1,9,2.25,2018,Home Games
Hertha BSC,10,2,3,5,9,0.9,2018,Home Games
1.FSV Mainz 05,8,2,2,4,8,1,2018,Home Games
SV Werder Bremen,8,1,4,3,7,0.88,2018,Home Games
VfB Stuttgart,11,1,3,7,6,0.55,2018,Home Games
Borussia Mönchengladbach,8,1,2,5,5,0.63,2018,Home Games
Bayer 04 Leverkusen,8,1,1,6,4,0.5,2018,Home Games
